"Politician Id","First Name","Last Name","Electoral Term","State"
11004098,"Carsten","Linnemann","17","Nordrhein-Westfalen"
11004098,"Carsten","Linnemann","18","Nordrhein-Westfalen"
11004098,"Carsten","Linnemann","19","Nordrhein-Westfalen"
11004100,"Jan Marco","Luczak","17","Berlin"
11004100,"Jan Marco","Luczak","18","Berlin"
11004100,"Jan Marco","Luczak","19","Berlin"
11004101,"Kirsten","Lühmann","17","Niedersachsen"
11004101,"Kirsten","Lühmann","18","Niedersachsen"
11004101,"Kirsten","Lühmann","19","Niedersachsen"
11004104,"Karin","Maag","17","Baden-Württemberg"
11004104,"Karin","Maag","18","Baden-Württemberg"
11004104,"Karin","Maag","19","Baden-Württemberg"
11004105,"Thomas","Maizière","17","Sachsen"
11004105,"Thomas","Maizière","18","Sachsen"
11004105,"Thomas","Maizière","19","Sachsen"
11004107,"Hans Georg","Marwitz","17","Brandenburg"
11004107,"Hans Georg","Marwitz","18","Brandenburg"
11004107,"Hans Georg","Marwitz","19","Brandenburg"
11004108,"Andreas","Mattfeldt","17","Niedersachsen"
11004108,"Andreas","Mattfeldt","18","Niedersachsen"
11004108,"Andreas","Mattfeldt","19","Niedersachsen"
11004109,"Ullrich","Meßmer","17","Hessen"
11004110,"Mathias","Middelberg","17","Niedersachsen"
11004110,"Mathias","Middelberg","18","Niedersachsen"
11004110,"Mathias","Middelberg","19","Niedersachsen"
11004113,"Dietrich","Monstadt","17","Mecklenburg-Vorpommern"
11004113,"Dietrich","Monstadt","18","Mecklenburg-Vorpommern"
11004113,"Dietrich","Monstadt","19","Mecklenburg-Vorpommern"
11004116,"Nadine","Müller","17","Saarland"
11004116,"Nadine","Müller","18","Saarland"
11004116,"Nadine","Müller","19","Saarland"
11004118,"Philipp","Murmann","17","Schleswig-Holstein"
11004118,"Philipp","Murmann","18","Schleswig-Holstein"
11004122,"Thomas","Nord","17","Brandenburg"
11004122,"Thomas","Nord","18","Brandenburg"
11004122,"Thomas","Nord","19","Brandenburg"
11004124,"Aydan","Özoğuz","17","Hamburg"
11004124,"Aydan","Özoğuz","18","Hamburg"
11004124,"Aydan","Özoğuz","19","Hamburg"
